metric	grouping	p	p_BH
Observed	species_code	0.188947930695862	0.736793258553456
Observed	depth_order	0.418632602420957	0.736793258553456
Observed	depth_within_HD	0.429796067489516	0.736793258553456
Observed	depth_within_XJ	0.429796067489516	0.736793258553456
Observed	depth_within_DS	0.147915944206379	0.736793258553456
Observed	depth_within_DG	0.89483931681437	0.89483931681437
Chao1	species_code	0.263168869760873	0.736793258553456
Chao1	depth_order	0.390540475266426	0.736793258553456
Chao1	depth_within_HD	0.586646219510032	0.812279380860044
Chao1	depth_within_XJ	0.429796067489516	0.736793258553456
Chao1	depth_within_DS	0.56114396864749	0.812279380860044
Chao1	depth_within_DG	0.89483931681437	0.89483931681437
ACE	species_code	0.298989906857806	0.736793258553456
ACE	depth_order	0.415540746556049	0.736793258553456
ACE	depth_within_HD	0.586646219510032	0.812279380860044
ACE	depth_within_XJ	0.252138238153004	0.736793258553456
ACE	depth_within_DS	0.732632467739215	0.89483931681437
ACE	depth_within_DG	0.89483931681437	0.89483931681437
Shannon	species_code	0.0810096768685683	0.679758080181782
Shannon	depth_order	0.330919468470079	0.736793258553456
Shannon	depth_within_HD	0.586646219510032	0.812279380860044
Shannon	depth_within_XJ	0.837128431360764	0.89483931681437
Shannon	depth_within_DS	0.0664629179866731	0.679758080181782
Shannon	depth_within_DG	0.89483931681437	0.89483931681437
Simpson	species_code	0.0519273802382302	0.679758080181782
Simpson	depth_order	0.271364341003889	0.736793258553456
Simpson	depth_within_HD	0.56114396864749	0.812279380860044
Simpson	depth_within_XJ	0.393240720868597	0.736793258553456
Simpson	depth_within_DS	0.11329301336363	0.679758080181782
Simpson	depth_within_DG	0.882496902584595	0.89483931681437
Pielou	species_code	0.0642854471062747	0.679758080181782
Pielou	depth_order	0.357027567626234	0.736793258553456
Pielou	depth_within_HD	0.837128431360764	0.89483931681437
Pielou	depth_within_XJ	0.670320046035639	0.893760061380852
Pielou	depth_within_DS	0.11329301336363	0.679758080181782
Pielou	depth_within_DG	0.89483931681437	0.89483931681437
