genus	enriched	mean_RA	max_RA	KW_p	KW_BH	IndVal	IndVal_site	IndVal_p
Aspergillus	HD	5.431	12.048	0.000202450576850039	0.0117421334573022	0.57	HD	0.032
Phialophora	DG	0.11	0.432	0.000595683196533617	0.0172748126994749	0.795	DG	0.001
Ceratobasidium	HD	3.314	7.404	0.00095879856486146	0.0185367722539882	0.511	HD	0.052
Neocamarosporium	DG	0.883	2.645	0.00166790661156194	0.0241846458676481	0.71	DG	0.001
Neosetophoma	DG	0.185	0.566	0.00208875404387381	0.0242295469089362	0.543	DG	0.023
Tricharina	DG	0.322	1.398	0.00294330716445952	0.028451969256442	0.621	DG	0.002
Funneliformis	DG	0.159	0.661	0.00495070537288392	0.0410201302324668	0.715	DG	0.003
Aporospora	HD	0.846	1.426	0.00941685247470294	0.0587298213651411	0.315	DS	0.624
Marcelleina	HD	0.314	1.187	0.0101258312698519	0.0587298213651411	0.648	HD	0.012
Penicillium	HD	1.642	4.929	0.00905347609450987	0.0587298213651411	0.762	HD	0.001
Dematiopleospora	DG	0.291	1.087	0.0115401936982662	0.0608482940454035	0.759	DG	0.004
Glomus	DG	0.107	0.406	0.0130426172526446	0.0630393167211154	0.66	DG	0.002
Clitopilus	DS	1.656	3.701	0.0184820538768192	0.0765543737264771	0.319	DS	0.244
Lophiostoma	DG	0.116	0.403	0.0197985449292613	0.0765543737264771	0.609	DG	0.008
Volvariella	XJ	0.119	0.46	0.0196970697488317	0.0765543737264771	0.442	XJ	0.006
Filobasidium	HD	0.328	0.78	0.0262372242460272	0.0895152356629164	0.4	HD	0.331
Vishniacozyma	HD	0.139	0.448	0.0247864342825958	0.0895152356629164	0.452	HD	0.13
Aureobasidium	DG	1.788	7.679	0.0296768002154553	0.0905019248663798	0.738	DG	0.042
Dominikia	DG	0.75	2.785	0.0316387332579646	0.0905019248663798	0.756	DG	0.002
Montagnea	DS	2.094	8.123	0.033081236440657	0.0905019248663798	0.554	DS	0.006
Psathyrella	XJ	0.438	1.641	0.028228974204611	0.0905019248663798	0.75	XJ	0.004
Trichophaeopsis	DG	0.422	1.761	0.0343283163286268	0.0905019248663798	0.719	DG	0.015
Linnemannia	DS	0.488	1.012	0.0377563797337206	0.0952117401980781	0.353	DS	0.348
Didymella	DG	0.147	0.524	0.0457621431278627	0.110591845892335	0.625	DG	0.009
Alternaria	DS	0.899	1.699	0.0515583761099549	0.111483577366034	0.317	DS	0.949
Naganishia	DS	0.781	1.196	0.0498726008480209	0.111483577366034	0.34	DS	0.786
Vacuiphoma	DS	0.521	1.708	0.0518975273945328	0.111483577366034	0.459	DS	0.123
Trematosphaeria	HD	0.336	0.759	0.0571610076904192	0.118404944501583	0.323	HD	0.261
Cladosporium	HD	0.634	1.1	0.0638055718714942	0.127611143742988	0.383	HD	0.566
Comoclathris	DG	1.774	7.489	0.0774797547234631	0.144962121740673	0.727	DG	0.039
Oliveonia	HD	1.695	6.447	0.077120683950167	0.144962121740673	0.543	HD	0.124
Emmonsiellopsis	DS	1.683	6.479	0.0807961201656397	0.146442967800222	0.55	DS	0.02
Conocybe	HD	0.831	2.415	0.0915579429921297	0.158669055738718	0.581	HD	0.087
Heydenia	DG	0.961	3.401	0.0930128947433865	0.158669055738718	0.517	DG	0.221
Tulasnella	DS	0.284	1.1	0.099150361276282	0.164306312972124	0.331	DS	0.116
Capronia	DS	0.128	0.486	0.105827107786898	0.170499229212225	0.325	DS	0.209
Absidia	HD	0.253	0.882	0.128559961676133	0.201526426411236	0.498	HD	0.05
Cistella	DG	1.134	4.939	0.149109265010626	0.227587825542535	0.498	DG	0.042
Monodictys	HD	0.367	0.972	0.168559264598031	0.250677880684251	0.438	HD	0.347
Pleurotus	DG	0.18	0.763	0.175445367798031	0.254395783307145	0.364	DG	0.086
Geminibasidium	DS	0.137	0.352	0.19916921149897	0.281751567486347	0.22	DS	0.356
Chrysosporium	HD	0.12	0.239	0.205189453317005	0.283356864104436	0.226	HD	0.346
Apophysomyces	HD	1.194	3.148	0.212799506584694	0.287031892602611	0.523	HD	0.064
Arachnomyces	XJ	0.527	0.937	0.279872790700291	0.360724930235931	0.254	XJ	0.446
Lyomyces	DS	0.283	1.091	0.277314078423552	0.360724930235931	0.331	DS	0.287
Scutellinia	HD	0.209	0.506	0.288009417480001	0.363142308996523	0.345	HD	0.199
Thelebolus	DG	0.174	0.658	0.29490336028443	0.363923295670148	0.548	DG	0.206
Mortierella	XJ	0.917	1.286	0.347872154239188	0.420345519705686	0.271	XJ	0.88
Pseudogymnoascus	HD	1.686	5.269	0.357155697498505	0.422755723569659	0.713	HD	0.1
Thyrostroma	DG	0.174	0.514	0.423961652606399	0.491795517023423	0.351	DG	0.108
Leucoagaricus	DS	0.474	1.74	0.442783734784116	0.50355797289174	0.315	DS	0.379
Cyphellophora	DG	0.74	1.774	0.578436666217951	0.633006163030965	0.216	DG	0.93
Preussia	HD	0.675	1.411	0.576912143315574	0.633006163030965	0.417	HD	0.318
Halteromyces	DS	0.108	0.305	0.595046569809323	0.639124093498902	0.081	DS	0.79
Talaromyces	XJ	0.598	2.234	0.663467644523391	0.699656788770121	0.426	XJ	0.213
Neodidymelliopsis	DS	0.342	1.053	0.680267552673283	0.704562822411614	0.435	DS	0.401
Rhizophagus	XJ	0.634	1.53	0.712675399175971	0.725178476354497	0.471	XJ	0.542
Tulostoma	XJ	1.765	4.379	0.733034878136005	0.733034878136005	0.425	XJ	0.492
